,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
10711,,43140100.264900774,389229068.71292466,30700000.0,1241.5744468843973,0.010200145430866978,0.0,0.00480501893407015
10712,,17430682.544482283,389229068.71292466,30700000.0,798.4521670961783,0.001867944463051701,0.00293820779756258,0.0010887112296440237
10713,,168256450.2166356,389229068.71292466,30700000.0,3925.0948109504598,0.009985040500028936,0.0,0.033076274042850455
10714,,15356694.41635266,389229068.71292466,30700000.0,395.43014349847147,0.005019444534826937,0.0,0.0
10715,,33959175.173387446,389229068.71292466,30700000.0,1530.1690674181764,0.0,0.0,0.016860213323510783
10716,,172617233.83348885,389229068.71292466,30700000.0,6042.75117731205,0.0,0.004748520585293009,0.052317409370550794
10717,,21157463.642753355,389229068.71292466,30700000.0,693.9394811973561,0.008159861458255799,0.00027581911496225354,0.0
10718,,73999297.5190227,389229068.71292466,30700000.0,2614.4816719738546,0.026287253286021946,0.0,0.004833185052369064
10719,,2185205932.1272173,389229068.71292466,30700000.0,9210.825746759574,0.42398586611266853,0.0,0.0
10720,,63959437.24659841,389229068.71292466,30700000.0,1596.7187493588963,0.0018474624800212617,0.0,0.01597833174779969
10721,,298518839.8549612,389229068.71292466,30700000.0,9939.261237714461,0.10832611664463714,0.0,0.0
10722,,36774691.36471667,389229068.71292466,30700000.0,1636.7448797372367,0.001867944463051701,0.0,0.01646615314508813
10723,,46757801.47455182,389229068.71292466,30700000.0,1230.6397246592153,0.001849008095579608,0.0,0.011971875791020565
10724,,8497395.554047728,389229068.71292466,30700000.0,372.17749341918943,0.0,0.001760111579254522,0.0
10725,,54175308.203608796,389229068.71292466,30700000.0,1606.2303905171295,0.0,0.0008727728040273507,0.016041663561111426
10726,,329842072.46658033,389229068.71292466,30700000.0,12707.472448240303,0.0,0.009050419634625089,0.10558353605882276
10727,,35274858.45111367,389229068.71292466,30700000.0,914.811393504893,0.011321073018348605,0.0,0.0
10728,,65446780.50934264,389229068.71292466,30700000.0,2151.390987386215,0.02584940325903083,0.0,0.0
10729,,61635653.45981819,389229068.71292466,30700000.0,2625.1714719764204,0.00810058018599944,0.008528794709594367,0.0
10730,,256736162.58669847,389229068.71292466,30700000.0,8239.884084056295,0.04703414162894358,0.0,0.04493217484147376
10731,,206946985.3919151,389229068.71292466,30700000.0,7132.920626474735,0.0018644053055547004,0.0,0.07331680158022576
10732,,27436178.423907857,389229068.71292466,30700000.0,1243.1293316280821,0.0018106260277697874,0.0034397836880228996,0.0040365908972011064
10733,,3517950.00747818,389229068.71292466,30700000.0,137.21456196796566,0.0018233313818933543,0.0,0.0
10734,,60517575.13355045,389229068.71292466,30700000.0,1381.5503273473562,0.0,0.0,0.015022866305947454
10735,,362591195.0548048,389229068.71292466,30700000.0,9870.414850357252,0.10675776691393091,0.0,0.0
10736,,30344272.07103566,389229068.71292466,30700000.0,965.8464340214052,0.011489259014736061,0.0,0.0004984457478898352
10737,,100261096.21667798,389229068.71292466,30700000.0,3384.0313531096335,0.0018630694624316136,0.0,0.035033001393470486
10738,,284184921.16280633,389229068.71292466,30700000.0,10755.664644361786,0.11923568242921351,0.0,0.0
10739,,79573092.4595745,389229068.71292466,30700000.0,3634.7746898975943,0.0031993092892151753,0.014159304443506349,0.0
10740,,86693349.7398794,389229068.71292466,30700000.0,4212.585909824553,0.006992929665792924,0.015327521082863341,0.0
10741,,427403373.1817896,389229068.71292466,30700000.0,10144.741477737509,0.001851648430387534,0.003241474692193458,0.09507088863987041
10742,,72563013.35260916,389229068.71292466,30700000.0,2245.1996962343937,0.0004055207799580721,0.0008355255939625166,0.022569279280244915
10743,,1209000.8944336793,389229068.71292466,30700000.0,44.324713150950785,0.0,0.0,0.0004965054970052288
10744,,29389887.126131747,389229068.71292466,30700000.0,805.4899080802572,0.005122708649704951,0.0,0.00451428751635228
10745,,142855150.23044163,389229068.71292466,30700000.0,3663.3388888984687,0.013921933203273654,0.006477998559068129,0.011582657616720128
10746,,489343390.95804363,389229068.71292466,30700000.0,14211.964585528027,0.0018670368065885389,0.0,0.1436905619337559
10747,,182249828.7179122,389229068.71292466,30700000.0,6044.230590303995,0.0018664623360311909,0.0,0.06304836571082467
10748,,731206376.9038788,389229068.71292466,30700000.0,21997.629190009797,0.0,0.0,0.21576249771019584
